title,category,soc,median_pay_annual,entry_education,num_jobs_2024,exposure,exposure_rationale,karpathy_normalized,openai_beta,openai_alpha,human_beta,anthropic_observed,frey_osborne_prob,theory_reality_gap,llm_shift,consensus_score,n_sources,disagreement
Assemblers and fabricators,production,,43570.0,High school diploma or equivalent,1885400.0,3,"The core of this occupation involves physical manipulation, manual dexterity, and real-time adjustments in a physical environment, which provides a significant buffer against AI. While AI and robotics are increasing efficiency and automating some repetitive tasks, a substantial portion of the work—especially in complex assembly, prototyping, and custom fabrication—still requires human presence and tactile skill.",0.3,,,,,,,,0.3,1,
Athletes and sports competitors,entertainment-and-sports,27-2021,62360.0,No formal educational credential,19100.0,1,"The core of this occupation is physical performance, manual dexterity, and real-time human presence in the physical world, which AI cannot replicate. While AI is used as a peripheral tool for performance analytics, strategy optimization, and diet planning, it does not replace the athlete's physical labor or the entertainment value of human competition.",0.1,0.0,0.0,0.0,0.0,0.28,0.0,-0.18000000000000002,0.03333333333333333,3,0.1
Athletic trainers,healthcare,29-9091,60250.0,Master's degree,33900.0,3,"The core duties of athletic trainers—such as applying tape/braces, providing emergency first aid on the field, and performing manual rehabilitation—require physical presence and tactile skills that AI cannot replicate. While AI can assist with peripheral tasks like injury analysis, record-keeping, and designing recovery protocols, the job remains fundamentally grounded in real-time human interaction and physical healthcare delivery.",0.3,0.2790697674418604,0.0930232558139534,0.4069767441860465,0.0531,0.0071,0.2259697674418604,0.2929,0.21072325581395346,3,0.24689999999999998
"Atmospheric scientists, including meteorologists",life-physical-and-social-science,19-2021,97450.0,Bachelor's degree,9400.0,8,"The core of this occupation involves analyzing digital data, running computer models, and writing code, all of which are highly susceptible to AI advancement. Machine learning is already revolutionizing weather forecasting by outperforming traditional numerical models in speed and efficiency, potentially reducing the number of human forecasters needed for routine data processing and report generation.",0.8,0.5652173913043478,0.1739130434782608,0.6086956521739131,0.038,0.67,0.5272173913043477,0.13,0.46773913043478266,3,0.762
Audiologists,healthcare,29-1181,92120.0,Doctoral or professional degree,15800.0,4,"Audiology is a clinical healthcare profession that requires physical presence for examinations, wax removal, and fitting hardware like hearing aids or cochlear implants. While AI will significantly enhance diagnostic accuracy, signal processing in hearing devices, and automated testing, the core of the job involves interpersonal counseling, physical patient interaction, and complex clinical judgment that cannot be fully digitized.",0.4,0.4545454545454546,0.1363636363636363,0.4545454545454546,0.0,0.0033,0.4545454545454546,0.3967,0.28484848484848485,3,0.4545454545454546
Automotive body and glass repairers,installation-maintenance-and-repair,,50680.0,High school diploma or equivalent,193000.0,2,"The core tasks are highly physical, involving manual dexterity, welding, and the use of pneumatic tools in unpredictable repair environments that are difficult to automate. AI's primary impact is limited to peripheral administrative tasks like cost estimation and damage assessment via computer vision, but the physical restoration of vehicles remains a human-centric trade.",0.2,,,,,,,,0.2,1,
Automotive service technicians and mechanics,installation-maintenance-and-repair,49-3023,49670.0,Postsecondary nondegree award,805600.0,3,"The core of this occupation involves physical labor, manual dexterity, and real-time mechanical repair in a physical environment, which provides a strong barrier against AI automation. While AI will significantly enhance diagnostic capabilities and predictive maintenance software, the actual physical replacement of parts and hands-on troubleshooting remains a human-centric task.",0.3,0.0818181818181818,0.0363636363636363,0.0727272727272727,0.0,0.59,0.0818181818181818,-0.29,0.12727272727272726,3,0.3
Bakers,production,51-3011,36650.0,No formal educational credential,249100.0,2,"The core duties of a baker are physical and sensory, involving manual dexterity for shaping dough and real-time monitoring of physical products in high-heat environments. While AI can optimize recipes or assist with inventory management and scheduling, the fundamental work of kneading, decorating, and handling equipment remains a physical task resistant to digital automation.",0.2,0.2647058823529412,0.1470588235294117,0.1176470588235294,0.0,0.89,0.2647058823529412,-0.69,0.15490196078431373,3,0.2647058823529412
"Barbers, hairstylists, and cosmetologists",personal-care-and-service,39-5010,35420.0,Postsecondary nondegree award,651200.0,2,"The core of this occupation involves manual dexterity and physical interaction in a highly unpredictable environment (human hair and skin). While AI can assist with peripheral tasks like appointment scheduling, marketing, or visualizing hairstyles for clients, the physical act of cutting, coloring, and styling hair remains a significant barrier to automation.",0.2,,,,,,,,0.2,1,
Bartenders,food-preparation-and-serving,35-3011,33530.0,No formal educational credential,756700.0,2,"The core of bartending involves physical manipulation of objects, manual cleaning, and real-time social interaction in a physical environment. While AI can assist with peripheral tasks like inventory management or automated ordering, the primary value of the role lies in human presence, physical service, and the social 'hospitality' aspect which remains difficult to automate.",0.2,0.1944444444444444,0.1111111111111111,0.1388888888888889,0.0,0.77,0.1944444444444444,-0.5700000000000001,0.13148148148148145,3,0.2
Bill and account collectors,office-and-administrative-support,43-3011,46040.0,High school diploma or equivalent,166900.0,9,"This occupation is almost entirely digital, consisting of data analysis, skip tracing, and communication via phone or computer. AI and automated systems are already driving a projected 10% decline in employment by handling routine notifications and payment processing, while advanced LLMs are increasingly capable of managing the negotiation and customer service aspects of debt collection.",0.9,0.6964285714285714,0.3928571428571428,0.4285714285714285,0.2989,0.95,0.3975285714285714,-0.04999999999999993,0.6317761904761905,3,0.6011
Biochemists and biophysicists,life-physical-and-social-science,19-1021,103650.0,Doctoral or professional degree,35600.0,7,"This occupation is heavily centered on knowledge work, data analysis, and complex modeling, all of which are being revolutionized by AI (e.g., AlphaFold for protein structure prediction). While physical laboratory work and team management provide a buffer, a significant portion of the role involves literature review, grant writing, and data interpretation—tasks where AI can exponentially increase productivity or automate core analytical functions.",0.7,0.4545454545454546,0.1363636363636363,0.4431818181818182,0.0756,0.027,0.3789454545454546,0.6729999999999999,0.41004848484848483,3,0.6244
Bioengineers and biomedical engineers,architecture-and-engineering,17-2031,106950.0,Bachelor's degree,22200.0,7,"This occupation involves heavy digital knowledge work, including software design, statistical modeling, and technical writing, all of which are highly susceptible to AI augmentation and automation. While physical tasks like equipment maintenance and clinical collaboration provide a buffer, the core engineering and research functions are increasingly driven by AI-enhanced simulations and data analysis.",0.7,0.5897435897435898,0.2307692307692307,0.5384615384615384,0.1328,0.037,0.45694358974358973,0.6629999999999999,0.47418119658119656,3,0.5671999999999999
Biological technicians,life-physical-and-social-science,19-4021,52000.0,Bachelor's degree,82700.0,5,"The role is a hybrid of physical laboratory work and digital data analysis. While AI can significantly automate data interpretation, report writing, and experimental modeling, the core duties involve manual tasks like setting up equipment, preparing biological samples, and conducting physical experiments that require a human presence in a lab or field environment.",0.5,0.4166666666666666,0.2,0.2666666666666666,0.0599,0.3,0.35676666666666657,0.2,0.32552222222222216,3,0.4401
Boilermakers,construction-and-extraction,47-2011,73340.0,High school diploma or equivalent,10400.0,2,"The core work is highly physical, involving manual assembly, welding, and repair in unpredictable and cramped environments like boilers and tanks. While AI can assist with peripheral tasks like blueprint analysis or maintenance scheduling, the primary duties require human dexterity and physical presence that current AI and robotics cannot replicate in non-factory settings.",0.2,0.0303030303030303,0.0,0.0,0.0,0.68,0.0303030303030303,-0.48000000000000004,0.07676767676767678,3,0.2
"Bookkeeping, accounting, and auditing clerks",office-and-administrative-support,43-3031,49210.0,"Some college, no degree",1613400.0,9,"This occupation is almost entirely digital and involves routine information processing, data entry, and mathematical verification—tasks that AI and automated software already perform with high accuracy. The BLS already projects a decline in employment due to technological change, and the shift toward 'analytical and advisory' roles is increasingly being encroached upon by advanced LLMs and specialized financial AI agents.",0.9,0.8023255813953488,0.6046511627906976,0.313953488372093,0.3104,0.98,0.4919255813953488,-0.07999999999999996,0.670908527131783,3,0.5896
"Broadcast, sound, and video technicians",media-and-communication,27-4010,56600.0,See How to Become One,146100.0,6,"This occupation is a hybrid of physical labor (setting up hardware, rigging lights, running cables) and digital knowledge work (mixing sound, editing video, managing broadcast signals). While the physical installation tasks are resistant to AI, the digital components—such as sound leveling, video editing, and signal monitoring—are being rapidly automated by AI tools, leading to higher productivity and a projected decline in specialized roles like sound and broadcast technicians.",0.6,,,,,,,,0.6,1,
Budget analysts,business-and-financial,13-2031,87930.0,Bachelor's degree,50400.0,8,"Budget analysts perform work that is almost entirely digital, involving data analysis, financial modeling, and report writing—all areas where AI is highly capable. While the role requires human negotiation and communication with stakeholders, the core tasks of consolidating budgets, identifying discrepancies, and performing cost-benefit analyses are highly susceptible to automation and significant productivity gains through AI.",0.8,0.52,0.08,0.64,0.0672,0.94,0.45280000000000004,-0.1399999999999999,0.4624,3,0.7328
Bus drivers,transportation-and-material-moving,,48370.0,High school diploma or equivalent,546100.0,4,"While autonomous driving technology is a direct long-term threat to the core task of vehicle operation, the role involves significant physical and interpersonal responsibilities that AI cannot yet replicate. School bus drivers must manage student behavior and safety, while transit and charter drivers assist passengers with disabilities and handle physical luggage, creating a substantial barrier to full automation in the near term.",0.4,,,,,,,,0.4,1,
Butchers,production,51-3021,38960.0,No formal educational credential,143100.0,2,"The core of this occupation involves manual dexterity, physical strength, and real-time interaction with physical products in a cold, unpredictable environment. While AI can assist with peripheral tasks like inventory tracking and sales forecasting, the primary duties of cutting, deboning, and handling meat are resistant to digital automation and require specialized robotics rather than AI software.",0.2,0.131578947368421,0.0526315789473684,0.0263157894736842,0.0,0.93,0.131578947368421,-0.73,0.11052631578947365,3,0.2
Calibration technologists and technicians,installation-maintenance-and-repair,17-3028,65040.0,Associate's degree,15800.0,4,"This occupation involves a significant physical component, requiring manual dexterity to adjust hardware and presence in industrial or laboratory environments. While AI can automate data recording, scheduling, and the analysis of calibration deviations, the core tasks of physical inspection, maintenance, and hands-on equipment manipulation provide a natural barrier to full automation.",0.4,0.4,0.2,0.2666666666666666,,,,,0.4,2,0.0
Cardiovascular technologists and technicians,healthcare,29-2031,67260.0,Associate's degree,64700.0,4,"The role requires significant physical presence for tasks like positioning patients, attaching electrodes, and assisting in invasive surgical procedures. While AI will heavily automate the analysis of EKG and pulmonary data, the core requirements of patient care, physical stamina, and real-time technical assistance in a clinical environment provide a strong barrier to full automation.",0.4,0.3571428571428571,0.0857142857142857,0.1714285714285714,0.0,0.23,0.3571428571428571,0.17,0.2523809523809524,3,0.4
Career and technical education teachers,education-training-and-library,,62910.0,Bachelor's degree,239600.0,4,"While AI can significantly automate lesson planning, grading, and the delivery of theoretical knowledge, the core of this occupation involves supervising hands-on activities in physical environments like workshops and labs. Teaching students to safely use physical tools for trades like welding, culinary arts, or auto repair requires real-time human presence and physical intervention that AI cannot currently replicate.",0.4,,,,,,,,0.4,1,
Carpenters,construction-and-extraction,47-2031,59310.0,High school diploma or equivalent,959000.0,2,"Carpentry is a highly physical occupation requiring manual dexterity, strength, and real-time problem-solving in unpredictable physical environments. While AI may assist with peripheral tasks like blueprint analysis, material estimation, or business management, the core work of cutting, fitting, and installing materials remains resistant to automation.",0.2,0.1444444444444444,0.0444444444444444,0.0888888888888888,0.0,0.72,0.1444444444444444,-0.52,0.11481481481481481,3,0.2
Cartographers and photogrammetrists,architecture-and-engineering,17-1021,78380.0,Bachelor's degree,13400.0,8,"The core tasks of collecting, analyzing, and visualizing geospatial data are fundamentally digital and highly susceptible to AI-driven automation. Computer vision and machine learning are already significantly faster than humans at interpreting satellite imagery, LiDAR, and survey data, while generative AI can increasingly automate the design and production of both static and interactive maps.",0.8,0.52,0.04,0.46,0.08,0.88,0.44,-0.07999999999999996,0.46666666666666673,3,0.7200000000000001
Cashiers,sales,41-2011,31190.0,No formal educational credential,3157200.0,7,"While the job has physical components like bagging and stocking, the core function of processing transactions is highly susceptible to automation through computer vision and AI-driven self-checkout systems. The BLS already projects a significant decline in employment due to these technological shifts, as AI can increasingly handle age verification, fraud detection, and customer inquiries.",0.7,0.2093023255813953,0.1395348837209302,0.3604651162790697,0.0846,0.97,0.12470232558139531,-0.27,0.3313007751937984,3,0.6154
Chefs and head cooks,food-preparation-and-serving,35-1011,60990.0,High school diploma or equivalent,197300.0,3,"The core of the job is highly physical and sensory, requiring manual dexterity, real-time human leadership in a fast-paced kitchen, and the use of taste and smell. While AI can significantly assist with peripheral digital tasks like menu planning, inventory management, and recipe generation, it cannot replace the physical oversight and hands-on food preparation essential to the role.",0.3,0.2619047619047618,0.0952380952380952,0.2619047619047618,0.0,0.1,0.2619047619047618,0.19999999999999998,0.18730158730158727,3,0.3
Chemical engineers,architecture-and-engineering,17-2041,121860.0,Bachelor's degree,21600.0,6,"Chemical engineering involves a significant amount of digital knowledge work, including process simulation, CAD design, and data analysis, which are highly susceptible to AI-driven optimization. However, the role is anchored by the need for physical presence in laboratories and industrial plants to monitor equipment, ensure safety compliance, and troubleshoot hardware in the real world.",0.6,0.4615384615384615,0.0769230769230769,0.3461538461538461,0.0,0.017,0.4615384615384615,0.583,0.35384615384615387,3,0.6
Chemical technicians,life-physical-and-social-science,19-4031,57790.0,Associate's degree,57000.0,5,"The role is a hybrid of physical laboratory work and digital data analysis. While AI can significantly automate the compilation of results, report generation, and predictive modeling of chemical properties, the core duties of setting up equipment, preparing physical solutions, and maintaining laboratory instruments require a human presence in a physical environment.",0.5,0.3928571428571428,0.1428571428571428,0.3928571428571428,0.3148,0.57,0.07805714285714277,-0.06999999999999995,0.40255238095238094,3,0.18519999999999998
Chemists and materials scientists,life-physical-and-social-science,19-2030,86620.0,Bachelor's degree,95500.0,7,"This occupation is a high-level blend of digital knowledge work and physical laboratory experimentation. AI is already revolutionizing the digital aspects—such as molecular modeling, predictive simulation, and technical reporting—allowing scientists to screen millions of compounds in silico before ever entering a lab. While the physical requirement of conducting experiments and handling chemicals provides a buffer, the massive productivity gains in research and analysis mean AI will fundamentally restructure how these scientists spend their time.",0.7,,,,,,,,0.7,1,
Childcare workers,personal-care-and-service,39-9011,32050.0,High school diploma or equivalent,991600.0,2,"The core responsibilities of this role—physical care, safety monitoring, hygiene, and emotional support—require a physical presence and human empathy that AI cannot replicate. While AI may assist with peripheral tasks like lesson planning, record-keeping, or parent communication, the fundamental nature of the work is hands-on and occurs in the physical world.",0.2,0.1414312039312039,0.11087223587223585,0.3404484029484029,0.0122,0.084,0.1292312039312039,0.116,0.11787706797706797,3,0.18780000000000002
Chiropractors,healthcare,29-1011,79000.0,Doctoral or professional degree,57200.0,3,"The core of chiropractic work is highly physical, requiring manual dexterity for spinal adjustments and real-time physical assessment of a patient's musculoskeletal system. While AI can assist with peripheral tasks like medical imaging analysis, diagnostic suggestions, and administrative business management, it cannot replace the essential hands-on therapeutic interventions that define the profession.",0.3,0.4545454545454546,0.1818181818181818,0.3181818181818182,0.0,0.027,0.4545454545454546,0.27299999999999996,0.2515151515151515,3,0.4545454545454546
Civil engineering technologists and technicians,architecture-and-engineering,17-3022,64200.0,Associate's degree,64900.0,6,"This occupation is a hybrid of digital knowledge work and physical field work. While AI and advanced CAD software are significantly automating drafting, cost estimation, and data analysis tasks, the role still requires physical site visits, material testing, and real-world inspections that AI cannot currently perform.",0.6,0.5909090909090909,0.1818181818181818,0.4772727272727273,0.0776,0.75,0.5133090909090909,-0.15000000000000002,0.4228363636363636,3,0.5224
Civil engineers,architecture-and-engineering,17-2051,99590.0,Bachelor's degree,368900.0,6,"Civil engineering involves significant digital knowledge work, including CAD design, data analysis, and cost estimation, which are highly susceptible to AI-driven productivity gains. However, the role is anchored by the necessity for physical site inspections, real-world surveying, and the legal accountability of a Professional Engineer (PE) license, which requires human judgment and liability that AI cannot currently replace.",0.6,0.48214285714285715,0.0556277056277056,0.45454545454545453,0.0081,0.019,0.47404285714285715,0.581,0.3634142857142857,3,0.5919
"Claims adjusters, appraisers, examiners, and investigators",business-and-financial,13-1030,76790.0,See How to Become One,365300.0,7,"This occupation is heavily focused on information processing, document review, and data-driven decision-making, all of which are highly susceptible to AI automation. While physical inspections and interpersonal negotiations provide some protection, the BLS already projects a decline in employment due to AI's ability to analyze photos of damage and automate claim calculations.",0.7,,,,,,,,0.7,1,
Clinical laboratory technologists and technicians,healthcare,29-2010,61890.0,Bachelor's degree,351200.0,5,"This occupation is a hybrid of physical laboratory work and digital data analysis. While AI and computer vision are rapidly automating the interpretation of slides and test results (high exposure), the physical requirements of preparing specimens, maintaining complex hardware, and interacting with patients provide a significant barrier to full automation.",0.5,,,,,,,,0.5,1,
Coaches and scouts,entertainment-and-sports,27-2022,45920.0,Bachelor's degree,306500.0,4,"While AI is significantly impacting the analytical side of the job—such as processing player data, optimizing game strategy, and analyzing opponent film—the core of the occupation remains deeply physical and interpersonal. Coaches must provide real-time motivation, physical instruction, and human leadership on the field, which cannot be replicated by digital tools.",0.4,0.3,0.0666666666666666,0.1444444444444444,0.0,0.013,0.3,0.387,0.2333333333333333,3,0.4
Community health workers,community-and-social-service,21-1094,51030.0,High school diploma or equivalent,65100.0,3,"The core of this occupation is built on trust, cultural sensitivity, and physical presence within specific communities, which AI cannot replicate. While AI can assist with peripheral tasks like data collection, report writing, and resource matching, the primary duties involve home visits, hands-on advocacy, and real-time interpersonal coaching for vulnerable populations.",0.3,0.3194444444444444,0.0833333333333333,0.3472222222222222,0.0,,0.3194444444444444,,0.2064814814814815,3,0.3194444444444444
Compensation and benefits managers,management,11-3111,140360.0,Bachelor's degree,20900.0,7,"This occupation is primarily digital and data-driven, involving the analysis of wage trends, benefits structures, and regulatory compliance—tasks where AI excels. While the role requires high-level human judgment for vendor negotiations and strategic decision-making, AI can automate significant portions of the data analysis, reporting, and routine employee communication, leading to higher productivity and potential workforce consolidation.",0.7,0.513157894736842,0.131578947368421,0.4605263157894737,0.0,0.96,0.513157894736842,-0.26,0.4043859649122807,3,0.7
